StudentID,CX1000,CX1001,CX1002,CX1003,CX1004,CX1005,CX1006,CX1007,CX1008,CX1009
1111111,56,51,78,85,63,45,55,59,52,76
1111112,56,64,68,80,70,39,46,60,55,74
1111113,52,61,63,81,71,49,54,61,54,76
1111114,50,42,72,81,63,44,62,59,56,68
1111115,67,53,77,84,65,52,63,62,52,71
1111116,45,57,62,32,61,56,62,51,55,79
1111117,67,58,54,77,75,44,58,62,57,77
1111118,69,50,66,78,72,39,60,58,57,84
1111119,70,56,62,80,71,52,60,63,54,70
1111120,51,52,46,82,74,42,66,63,55,73
1111121,71,89,90,72,99,86,67,81,79,79
1111122,66,62,80,85,67,49,60,59,54,77
1111123,62,56,75,88,70,46,54,57,57,72
1111124,61,77,62,79,70,43,71,59,61,79
1111125,72,56,48,78,57,45,56,63,53,75
1111126,67,56,68,79,63,41,42,64,56,70
1111127,64,67,74,84,69,44,48,61,55,70
1111128,77,56,66,82,59,44,61,61,54,64
1111129,64,52,66,72,64,45,84,60,51,61
1111130,67,65,70,79,67,44,54,56,55,73
1111131,55,38,79,84,66,44,58,63,51,74
1111132,73,41,52,82,55,42,65,59,55,79
1111133,59,60,85,76,62,47,65,64,55,72
1111134,65,67,79,90,69,43,53,63,57,78
1111135,46,54,46,78,58,41,54,59,58,77
1111136,56,47,75,81,62,47,55,53,53,76
1111137,79,69,53,88,74,44,69,60,56,71
1111138,76,41,75,80,93,47,55,56,53,79
1111139,55,66,78,80,57,42,56,60,55,82
1111140,64,67,70,78,65,45,59,59,59,66
1111141,54,56,80,90,74,47,34,63,55,70
1111142,58,45,66,81,80,49,46,58,51,78
1111143,65,44,60,76,63,39,74,62,56,76
1111144,43,32,45,22,35,67,14,29,31,43
1111145,62,51,74,80,64,52,45,57,53,79
1111146,71,52,70,88,72,43,70,63,55,72
1111147,62,69,75,78,81,42,45,61,57,77
1111148,81,61,80,76,77,47,53,60,53,69
1111149,48,75,77,80,72,45,61,63,52,77
1111150,55,74,72,81,86,43,53,66,57,77
1111151,52,89,87,85,68,42,72,66,56,70
1111152,34,63,66,79,63,47,62,59,54,74
1111153,55,54,54,86,63,44,71,64,58,67
1111154,65,64,58,80,66,47,47,64,57,74
1111155,62,54,68,85,78,51,49,57,59,73
1111156,54,71,64,81,69,43,60,56,54,71
1111157,55,39,52,83,70,50,65,66,54,75
1111158,53,54,68,76,58,49,57,60,55,71
1111159,60,50,80,75,71,40,57,62,78,75
1111160,51,44,70,82,61,48,58,60,52,80